# source<TAB>translation.  \n represents a runtime line break; ASCII punctuation is retained.
-Armor Up-\nSubtracts 1 damage from all\nrecieved standard attacks.\n	-护甲提升-\n所有普通攻击造成的伤害\n减少1点.
-Attack Speed Plus-\nIncreases the speed of\nall standard attacks by\n12%.	-攻击速度提升-\n所有普通攻击的速度\n提高12%.
-Axis of Fury-\nRelentless arm swinging.\n6 hits dealing 4 damage each.	-狂怒回旋-\n无情挥舞手臂.\n连续6击,每击造成4点伤害.
-Blaster-\nBlasts a ball of energy \ndealing 5 Damage.	-能量炮-\n发射一枚能量球,\n造成5点伤害.
-Clone-\nSummon a clone that will\nfight by your side for 10\nseconds.	-分身-\n召唤一个分身,\n与你并肩战斗10秒.
-Damage Up-\nIncreases the damage of all\nstandard attacks by 1.	-伤害提升-\n所有普通攻击的伤害\n提高1点.
-Drill Dash-\nAn aim-able dash attack that \ndigs through ground. Can deal \n4 hits of 2 damage.	-钻头冲刺-\n可瞄准的冲刺攻击,\n能钻穿地面并连续4击,\n每击造成2点伤害.
-Giganto Missile-\nFires a large homing missile that\nexplodes on impact dealing 15\ndamage to anyone.	-巨型导弹-\n发射大型追踪导弹,\n命中爆炸,对任何目标\n造成15点伤害.
-Launch-\nLaunches you upwards into\ncontrollable flight dealing 8\ndamage. Can also be aimed down.	-弹射-\n将你向上弹射进入\n可控制的飞行,造成8点\n伤害.也可向下瞄准.
-Megabyte Punch-\nA devastating shield-breaking\npunch dealing 25 damage.	-兆字节重击-\n毁灭性的破盾拳击,\n造成25点伤害.
-Minigun-\nFires 20 instant shots dealing\n2 damage each.	-迷你机枪-\n瞬间连续射出20发子弹,\n每发造成2点伤害.
-Missile-\nA homing projectile that\nexplodes to deal 10 damage.	-导弹-\n发射一枚追踪弹,\n爆炸造成10点伤害.
-Movement Speed Up-\nIncreases all movement speed \nby 10% and slightly increases \njump height. 	-移动速度提升-\n所有移动速度提高10%,\n并略微增加跳跃高度.
-Pelvic Thrust-\nA difficult to hit thrust that \ninstantly pierces shields and \ndoes 20 damage.\n	-破盾突袭-\n难以命中的突刺,\n可立即贯穿护盾,\n造成20点伤害.
-Place Mine-\nPlaces a timer-based mine dealing\n20 damage to anyone.	-布设地雷-\n布置定时地雷,\n对任何目标造成20点伤害.
-Place Virus Mine-\nPlaces a virus mine that hits \nfor 5 damage and infects for 8 \nseconds, dealing 36 damage.	-布设病毒地雷-\n布置病毒地雷,命中造成\n5点伤害并感染8秒,\n总计造成36点伤害.
-Place Wall-\nCreates a wall of 3 blocks high.	-布设墙体-\n建造一面高3格的墙.
-Plus Jump-\nGrants 1 extra jump.\n(Base is 2)	-额外跳跃-\n获得1次额外跳跃.\n(基础次数为2)
-Pound-\nA downwards pound that \ndeals 15 damage.	-重击-\n向下猛砸,\n造成15点伤害.
-Rapid Fire-\nFires 8 instant shots dealing\n2 damage each.	-快速射击-\n瞬间连续射出8发子弹,\n每发造成2点伤害.
-Red Virus Immunity-\nGrants immunity to red virus \nclouds.	-红病毒免疫-\n免疫红病毒云.
-Shield Life Up-\nIncreases shield life to\nwithstand 4 more damage.\n(Base is 4)	-护盾生命提升-\n护盾可额外承受4点伤害.\n(基础值为4)
-Slice Dash-\nA horizontal dash dealing 8\ndamage with downward knockback.	-斩击冲刺-\n水平冲刺斩击,\n造成8点伤害并向下击退.
-Slice-\nA melee attack with a decent\nrange. Deals 12 damage.	-斩击-\n中等攻击范围的近战攻击.\n造成12点伤害.
-Snipe Shot-\nA single shot dealing 8 \ndamage and knockback.	-狙击弹-\n发射一枚子弹,\n造成8点伤害并击退目标.
-Spinkick-\nA melee attack with strong\nhorizontal knockback that deals\n18 damage.	-旋踢-\n近战攻击,拥有强力的\n水平击退效果,\n造成18点伤害.
-Summon Guard-\nSummon a crab guard that \nwill that will defend you\nfor 30 seconds.	-召唤守卫-\n召唤一个螃蟹守卫,\n守护你30秒.
-Summon Kachooks-\nSummon 4 kachooks that will\ndance and explode on death.	-召唤Kachooks-\n召唤4只Kachooks,\n它们会跳舞并在死亡时爆炸.
-Summon Soldier-\nSummon a soldier that will\nfight by your side for 30\nseconds.	-召唤士兵-\n召唤一名士兵,\n与你并肩战斗30秒.
-Swoop-\nA fast, controllable flight.	-俯冲-\n快速、可控制的飞行.
-T Attack-\nA simultaneous punch and kick\nthat deals 15 damage on both\nsides.	-T形攻击-\n同时出拳和踢击,\n两侧各造成15点伤害.
-Teleport-\nInstantly displaces you in a\ndesired direction and releases\na static charge dealing 12 damage.	-传送-\n立即向指定方向位移,\n并释放静电,\n造成12点伤害.
-Tornado-\nA controllable spinning attack. \nCan hit 8 times with 3 damage \nper hit.	-龙卷-\n可控制的旋转攻击.\n可连续命中8次,\n每击造成3点伤害.
-Uppercut-\nSmacks opponents upwards\ndealing 16 damage.	-上勾拳-\n将对手向上击飞,\n造成16点伤害.
-Virus Slice-\nSlices for 4 damage plus 16 \ndamage over 4 seconds.	-病毒斩-\n斩击造成4点伤害,\n并在4秒内额外造成16点伤害.
\n-Shovel-\nDigs through breakable blocks,\ndoes 1 damage and launches high\nupwards. 	-铲击-\n挖穿可破坏方块,\n造成1点伤害并将你\n高高发射.
