group_id`tline_id`tsource`ttranslation
0	0	So you made it to my \nhideout...	你到了我的\n藏身处啊...
0	1	And you want one of my \ndrill parts right?	想要我的一个\n钻头零件,对吧?
0	2	Well I'll make you a deal.	好吧,跟你做个交易.
0	3	I'll give you your part if \nyou can beat me before I \ndrill your face off!	你要是能在我把你的脸\n钻烂前打败我,\n我就把零件给你!
1	0	Are you looking for \nsomething?	你在找什么?
1	1	Mmmrblmbmrrm rmblm...	Mmmrblmbmrrm \nrmblm...
2	0	A Lost Megac is just \nbeyond here. This is a good \nchance to show your \nfighting skill.	一只失魂 Megac 就在前面.这正是展\n示你战斗本领的好机会.
2	1	It lost its soul and will \nattack you without holding \nback.	它失去了灵魂,会毫不留情地攻击你.
2	2	The more damage a megac \nhas, the further he will \nbe knocked away. \nEventually he will break\ninto pieces.	Megac 受的伤越重,被击退得就越远.\n最后它会碎成零件.
2	3	Try to combine your \npunches to destroy it and \nget its part!	试着组合你的拳招击败它,拿到它的零件!
3	0	Enemies drop parts or \nBits. Collect 64 Bits to \nrecover a life. Collect \nparts to get new \nabilities! 	敌人会掉落零件或 Bits.收集 64 \n个 Bits 可恢复一条命;收集零件可获\n得新能力!
3	1	Check if the part is in \nyour inventory with \n'Enter'.	按"回车"打开背包,确认零件是否在\n其中.
3	2	Then you can attach it \nto your chest with 'Z'!	再按"Z"把它装到躯干上!
4	0	If you got your launch \npart ready, you can use \nits ability with 'up' and 'X'.	准备好发射零件后,按"上"和"X"即可使\n用它的能力.
4	1	Try to get up there. \nJump, jump and launch!	试着上去吧.跳,跳,发射!
5	0	You're almost there!	就快到了!
5	1	Aerial attacks are very \npowerful, keep this in mind.	空中攻击非常强力,记住这一点.
5	2	Just jump, hold a \ndirection and press 'Z' in \nthe air.	跳起后按住一个方向,再在空中按"Z".
5	3	And to sprint, double tap \nleft or right.	冲刺则双击左或右.
6	0	I, Leon, On behalf of the \nempire, apologize for the \nactions of General HB-02.	我,Leon,代表帝国,就 HB-02 \n将军的所作所为向你道歉.
6	1	He has been discharged\nand exiled.	他已被革职,并流放.
